case_id	requirement	plan_ref	test_surface	check	module	binary	test	scope	gate
PERF-001	offline RSS <=128 MiB	docs/plan/13_performance_budget.md	baseline	performance				baseline	hard
PERF-002	binary <=30 MiB	docs/plan/12_release.md	release	artifact				release	hard
REL-001	30% source failure isolation	docs/plan/05_fetching_reliability.md	fault injection	tests	radar-fetch	radar-fetch::reliability	rel_001_fault_isolation_does_not_abort_scan	baseline	hard
REL-002	global deadline	docs/plan/05_fetching_reliability.md	mock server	tests	radar-fetch	radar-fetch::http_mock	rel002_global_deadline_bounds_fetch	baseline	hard
REL-003	stable deterministic IDs	docs/plan/05_fetching_reliability.md	golden	tests	radar-core	radar-core::golden	rel_003_stable_deterministic_ids	baseline	hard
DOC-001	every plan has acceptance mapping	docs/plan/00_engineering_constitution.md	xtask	meta				baseline	hard
DOC-002	every hard case has automation	docs/plan/00_engineering_constitution.md	xtask	meta				baseline	hard
RELS-001	static musl binary	docs/plan/12_release.md	container	artifact				release	hard
RELS-002	checksum asset	docs/plan/12_release.md	release	artifact				release	hard
RELS-003	artifact provenance	docs/plan/12_release.md	release	attestation				release	hard
LIVE-001	>=20 audited sources	docs/plan/01_product_scope.md	registry	meta				baseline	hard
LIVE-002	>=10 enabled fixture-backed sources	docs/plan/01_product_scope.md	registry	meta				baseline	hard
LIVE-003	live source health ratio	docs/plan/01_product_scope.md	scheduled	live				live	advisory
CI-001	selection includes reverse dev and conditional consumers	docs/plan/12_release.md	unit	tests	xtask	xtask::bin/xtask	acceptance::tests::ci_001_selection_includes_reverse_dev_and_conditional_consumers	baseline	hard
CI-002	unknown and contract changes force full	docs/plan/12_release.md	unit	tests	xtask	xtask::bin/xtask	acceptance::tests::ci_002_unknown_and_contract_changes_force_full	baseline	hard
CI-003	missing case or shard mapping is rejected	docs/plan/12_release.md	unit	tests	xtask	xtask::bin/xtask	acceptance::tests::ci_003_missing_case_or_shard_mapping_is_rejected	baseline	hard
CI-004	zero missing skipped and duplicate tests are rejected	docs/plan/12_release.md	unit	tests	xtask	xtask::bin/xtask	acceptance::tests::ci_004_zero_missing_skipped_and_duplicate_tests_are_rejected	baseline	hard
CI-005	fanin rejects missing stale and changed evidence	docs/plan/12_release.md	unit	tests	xtask	xtask::bin/xtask	acceptance::tests::ci_005_fanin_rejects_missing_stale_and_changed_evidence	baseline	hard
CI-006	wrong artifact digest and unreviewed release are rejected	docs/plan/12_release.md	unit	tests	xtask	xtask::bin/xtask	acceptance::tests::ci_006_wrong_artifact_digest_and_unreviewed_release_are_rejected	baseline	hard
